Index,Content,Label
0,电影《一夜成名》开机 黄圣依笑称像大杂烩(图)新浪娱乐讯 7月24日，内地首部音乐剧电影《一夜成名》在北京宣布开机。监制杨子(微博)、制片人王磊、导演石磊(微博)，携黄圣依(微博)、维塔斯、刘桦(微博)、田娃(微博)等主演亮相。该片集结了中外明星参演，音乐风格也将混合民族、时尚、原生态等多种形态，被黄圣依笑称像个大杂烩。黄圣依称像大杂烩 田娃首登大银幕《一夜成名》中，女一号黄圣依延续了其女总裁的身份，在影片中饰演受过良好教育、干练知性的娱乐公司高管，与饰演西北原生态歌手的田娃擦出火花。    “制片人王磊给我讲这个剧本的时候，打动我的首先不是这个角色，而是这个故事和王磊团队的野心”，在谈到自己在《一夜成名》中的角色，黄圣依笑道，“当时我们就开玩笑，说这可能是最没有挑战性的角色，完全本色演出。那作为我演员之外的幕后身份以及我本人的兴趣，也让我对中国电影市场和中国电影类型片，有更多的想法，《一夜成名》的歌舞片定位非常吸引人，我很乐意出演这个角色”。她笑称这部电影像个大杂烩，演员各国、各种强调都有，语言也是五花八门，音乐的类型也是有时尚，有民歌，有原生态……影片中，男一号田娃扮演的原生态歌手是一个从黄土高原上走出来的放羊娃，在通过选秀改写自己的人生轨迹之后，他发现所要面对的不仅仅是生活的困惑，更有文化认同的危机。维塔斯现场变魔术 刘桦坚决不唱歌此前，维塔斯在《花木兰》和《建党伟业》两部中国电影中，都有客串角色。“海豚音王子”此次以国际一线艺人身份出现，扮演一个神秘的重要人物，“海豚音”将与中国西北民歌产生碰撞；“首先，作为一个歌手，对歌舞片有天然的感情，对于我来说，对作为演员的自己和作为歌手的自己，感情上是有分别的”，在谈到加盟歌舞片《一夜成名》，维塔斯表示，“我相信拍摄这个电影的过程，我能够了解更多中国的音乐、跟中国音乐家有更多的交流，对于我来说，这非常重要”。现场，他还为大家表演魔术助兴，让人对他的才华刮目相看。在谈到与自己在影片中有多场对手戏的田娃时，维塔斯对中国西北民歌表示出浓重的兴趣：“他的音乐非常特别，在我所受的音乐训练中，没有过用那样的方式来表达生命力和热情的先例。这也让我对这部电影非常期待，我希望这部电影也能被更多西方人看到，让更多人了解这种音乐和音乐背后的文化”。而“道哥”刘桦在片中也将挑起喜剧部分的大梁。现场媒体请他也亮一下歌喉，道哥却死活不答应，还说目前仍在说服导演希望不让自己在片中唱歌。除了几位主演，王思懿、卡门·马索拉(苏珊大妈)、董美?等也将在片中有精彩的表现。范晨/文 孙慧/图 辛军/视频,娱乐
1,游戏春晚 嘉宾及节目安排出炉 2011首届游戏春晚即将于2月2日播出，本次游戏春晚的嘉宾名单也正式确认出炉。随着春节一天天的临近，今年首次举办的的游戏春晚成为了广大游戏爱好者讨论的话题，谁会在首届游戏春晚的舞台上亮相成为不少游戏玩家最希望探究的秘密。近日，参加2011首届游戏春晚的嘉宾名单终于完全出炉，电竞著名解说MagicYang、海涛、“人皇”Sky、人族双子星Infi、TH000、CS传奇Alex等近20位明星将纷纷登台，亮相此次游戏春晚。王牌电竞解说主持共聚游戏春晚本次游戏春晚，我们将看到四位电竞圈的著名解说及主持人亮相游戏春晚。除了我们熟知的国内著名电竞解说，“BM”黄金组合之一，也是中国第一代天皇级魔兽职业玩家的MagicYang（魔术杨）之外，还有曾经的游戏风云”涛哥”， 2010年国内人气最高的DotA解说海涛也在本次游戏春晚尽情耍宝。此外， PLU知名星际主持人，SITV游戏风云解说嘉宾，星际争霸项目最具影响力的解说员，教练员——大师将倾情加盟此次春晚。而名字登上最近大红的电视剧《爱情公寓2》，被大家称为“二龙“的PLU著名主持人，SITV游戏风云特邀解说嘉宾Alone也将欢乐恶搞的风格带到了此次游戏春晚。魔兽争霸三大人族亮相春晚舞台在本次春晚上，观众们还将看到近年来难得集体现身的三位世界顶尖魔兽争霸人族选手Sky、Infi以及TH000将共同在游戏春晚中亮相。并且在本次游戏春晚的舞台上，刚刚加盟天禄战队，获得WCG2009世界冠军，被誉为 “塔魔”的Infi （王诩文）以及有“皇冠制造机”之称的TH000（黄翔）将组成“蛋塔”乐队同台为观众们献唱。同时，在此次游戏春晚上，2005、2006两届WCG魔兽项目冠军，被称为魔兽“人皇”，中国电子竞技领域旗帜性人物Sky（李晓峰）和他的弟弟Hotmail（李俊峰）也将携手亮相2011首届游戏春晚，共同为广大观众带来最给力的表演。DotA大神同台竞技尽显运动天赋这次的游戏春晚可在节目环节设计方面与传统春晚相比可谓是别出心裁，独具一格。现役DotA明星选手，担任SOLO位的世界第一影魔Pis（卜严骏），多项赛事冠军的第一CARRY  BurNIng（徐志雷）以及被广大玩家称为“新一代路人王”的国士无双都将在游戏春晚的《Kinect体感运动会》上化身为运动员，一起同台竞技。而大满贯荣誉选手，有世界DotA第一人之称的，现任EHOME俱乐部DOTA分部队长，被粉丝爱称为“8老板”820（邹倚天）也将在游戏春晚上参加扣人心弦的竞猜节目，再现电竞对抗中的精彩场面。CS星际选手登台游戏春晚共拜年作为电子竞技界的常青树，星际争霸与反恐精英这两款游戏在国内游戏界一直有着非常多的拥趸。中国CS界传奇人物，国内CS冠军“大满贯”得主著名选手Alex（卞正伟）也将携手G联赛星际争霸项目长年一哥土豆明（黄慧明）在游戏春晚的《兔兔大狂欢》及 《Kinect体感运动会》环节中大玩游戏，同时为广大观众送上新春祝福。当红Showgirl春晚舞台再聚首Showgirl一直是游戏界离不开的话题，而在本次游戏春晚上，今年Chinajoy最火的两位当红Showgirl也将粉墨登场，穿上可爱的服装一起与各位电竞明星选手同台对抗，大玩游戏，将春晚现场气氛引爆至最高潮。作为2010 ChinaJoy三国杀展台最火Showgirl，樱桃成人女子网游公会副会长的叶梓萱以及2010年chinajoy暴雪展台首席showgirl，被评为笑容最甜美女孩毛貌都将穿上兔年的兔子服，大玩雷曼兔疯狂游戏，用她们的清新靓丽征服在场所有的嘉宾和观众。作为史上第一届游戏春晚，本次春晚的嘉宾可谓是明星云集，而且此次春晚还邀请到了游戏风云的普通游戏玩家与明星嘉宾们互动竞技，将这次游戏春晚真正打造成了一台属于游戏玩家自己的互动盛会。这台让所有游戏爱好者梦圆2011的游戏春晚还将有更多更精彩的环节等待我们发现。2011首届游戏春晚，全明星之夜，精彩内容绝对不容错过！2011全球首届游戏春晚节目单：1.开场舞 《We will rock you》 - 游戏电竞嘉宾进场2.主持人开场 - 游戏厂商新春祝福3.红白两队对抗：谁是游戏老鸟4.2010游戏界五大时间回顾5.夏俊豪采访6.财神发红包7.真人版植物大战僵尸8.红白两队对抗：兔兔大狂欢9.我是MT贺岁版10.喊T歌11.火法帝12.2010年度网络流行词汇盘点13.吞佛童子访谈14.世纪天成《梦不落败》15.盛大《星辰变》16.PPS《80后的记忆》17.Infi+TH000《光荣》18.国内外电竞明星新春祝福19.2011年年度期待游戏盘点20.Sky+Infi+TH000采访21.红白两队对抗：Kinect体感运动会22.谢幕结束节目播出时间： 2010年2月2日20:00-22:00时长：2小时节目收看平台：[网络版]pplive、新浪、优酷[电视版]六大主流频道同步直播游戏风云五星体育SiTV新视觉SiTV劲爆体育SiTV动漫秀场主办单位：上海文广互动电视有限公司五星体育传媒有限公司承办单位：上海广播电视台上海文广互动电视有限公司主创人员首届游戏春晚总策划：张大钟首届游戏春晚制片人：张哲?首届游戏春晚总导演：张锐首届游戏春晚总监制：陶鸣成 张越首届游戏春晚主持人：张宏圣 袁霆 张捷 张蕾,游戏
2,组图：发型+背带裤 12女星俏装扮(图文/一米花田blog)对于漂亮MM来说，整体造型不但需要妆容的画龙点睛，更需要得体发型与服装的搭配。今天让7位当红女星给大家做个示范，让你偷学几招轻松变美。李冰冰帅气中性的典范，OL适用。高马尾不留一丝乱发，搭配硬朗的西装背带裤，帅气不经意间流露，COOL！同类搭配还可以参考萧亚轩哦。Selina牛仔长背带裤一直是让人觉得轻松的装扮，明星简单的飘飘长发穿上大众衣裳，也想像个普通人一样，轻轻松松的过日子。候佩岑正装风格的西装面料背带裤，配上干净利落的俏马尾，加上候佩岑招牌式的甜笑，简单就是美！Hebe标准的背带牛仔裤搭配泡泡袖的小T恤正适合Hebe安安静静的性格。不过改良版的BOBO头更显个性，放在人群里也不会被埋没。,时尚
3,2009年度十大最令人失望游戏大盘点新浪游戏独家原创稿件，转载请注明出处！2009年马上就要过去了，这一年发售的游戏真的是数不胜数，总体上游戏还都是挺好玩的，销售纪录也有 了新的突破。有一些游戏并不是很糟糕，但是它们在发售之后并没有厂商宣传的和大家预期的那么好，这 就很令人失望了。这不，有国外媒体评出了2009年度最令人失望的游戏，让我们一起来看看：失望游戏之一：KOF拳皇12格斗游戏的代表作一个是《街霸》，还有一个就是《拳皇》。其实很多玩家都是更倾向于《拳皇》的风格 ，不光是因为游戏更激烈，《拳皇》中可选的人物也相对较多。《拳皇98》是非常经典的，从画面到平衡 性在当时都达到了完美的程度。这个《拳皇12》在没有发售的时候，被玩家一致认为是下一代格斗游戏的 代表作，画面是高清的，还能网上对战。从宣传视频上看，游戏是特别华丽特别美妙特别精彩特别好玩的。实际拿到游戏之后大家发现，可以选择的人物只有20个，达到了史上最少；没有故事模式，一上来就可以 用所有的人物；网络对战模式内容极少，跟《街霸4》根本没法比。总之让人玩10分钟之后就不想玩了。 游戏的画面在高分辨率的屏幕上也显得非常糟糕，有点惨不忍睹。总体上看，《拳皇12》这游戏就是一团糟，它根本就不该在这个状态下发售，实在是太让人失望了。失望游戏之二：使命召唤6：现代战争2《使命召唤》系列实在是太经典了，单人战役让人玩过之后还想玩，不过在《使命召唤4：现代战争》中多人游戏一样引人入胜，玩家可以通过赚取经验升级来解锁新的武器，获得新的奖励，除了杀敌之外助攻也可以获得分数，并且平衡性相当好，很少有一击必杀的情况，此外蹲坑也是很容易被杀的。就在大家期待的目光下，《使命召唤6：现代战争2》来了，它拥有只需要不到5个小时就能打穿的战役， 并且在战役中要不停地穿过一栋栋房子，敌人一批一批地来，就像从蛋里孵出来似的，唯一有点新意的地方是有时候需要进行隐秘行动。真正让人失望的是《使命召唤6》多人模式。地图变大了，也就是说战斗没有那么激烈了，大家都不冲锋改蹲坑了，在很多位置都不能乱跑，不然会被蹲坑的直接一枪打飞，到最后想找到一起玩《使命召唤6》的都不是那么容易了。所有武器的伤害都被减少了，手榴弹基本就是摆设。是的，各大媒体给《使命召唤 6》的分数都很高，游戏的销售纪录也被刷新了，这样游戏就圆满成功了？大家还是知道动视的媒体公关能力有多强的吧！失望游戏之三：搏击之夜4其实《搏击之夜3》就是个很烂的游戏，因为真正的拳击比赛中选手的动作都是很灵活很敏捷的，不会做出像机器人一样的动作，也不会在很短的时间里就把对手打倒。在《搏击之夜4》的第一段官方视频中，也提到《搏击之夜3》很烂，同时还说《搏击之夜4》会给玩家最真实的拳击游戏体验，玩家需要精确把时机，手脑并用来击败对手取得胜利。等了N久，这《搏击之夜4》终于出来了，但是这游戏实在是有点挑战人的忍耐力，让人在坚持了两三个小时之后就再也不想看到它了。首先这游戏的制作商一定是想卖他们的专用手柄，如果能卖出去的话收入一定很可观，如果用X360的手柄来玩，会发现人物的动作很难控制。过了N个月，这游戏终于出了一个操控方面的补丁。但是游戏的节奏明显偏慢，并且人物有时候还不听控制。至于现实主义？这在《搏击之夜4》中是不存在的。经常在打出几百拳之后，对手还是屹立不倒。其中的人物还可以被抓住几十次挨几十次上勾拳，然后还是不倒。单人游戏中的人工智能简直就是人工弱智，只会做出一些很单调的动作，高一些的难度只会提升电脑对手的攻击伤害而已，只要不被AI那单调的基本打不到人的动作打到，选什么难度都无所谓。,游戏
4,晒晒美国大学毕业生的蜗居生活(图)178平方英尺的住宅，也就相当于17平方米，算起来也就是长5米宽3米多一点，这是一位生活在纽约的大学毕业生的家。俗话说屋雅何须大、花香不在多。同样是过着蜗居的生活，但这位名叫莫特尔的25岁大学毕业生却把自己的小窝安排的井井有条，一个狭窄的房间，可谓“五脏俱全”，有“卧房”、“工作间”、“娱乐间”、浴池、厨房、餐厅，当然这些名目和那些大房子或是豪宅没法比，也不可同日而语。但这个蜗居大学毕业生的蜗居生活还能给人的一点启示是：人虽然处在蜗居之中，但生活品质还是要靠自己来改善。莫特尔在大学学的剧院专业、也主修过雕塑，大学毕业后在纽约一家公司找到了室内设计的工作。纽约的房价之高在美国是出了名的，小小的80后一人在纽约闯天下，第一关就得面对如何解决住的问题。象这样一间不到20平方米的公寓，每月的租金需要944美元。莫特尔的收入并不是很高，从小打工养成的独立生活和珍惜劳动所得的习惯让他在纽约这个美国第一大都会城市依然保持着一种节俭的生活方式。当然作为室内设计师，不光是为客户作出最好的室内设计，自己的小窝也是他个性化生活的一个设计试验地。前前后后共花了2500美元，莫特尔重新打造了自己居住的陋室，如果看一下室内的图片，给人的基本感觉是房子虽小，但很舒适；屋子不大，但很有条理。一份研究报告说，北京人购买房子的平均年龄在27岁，比发达国家提前了一代人。真不知道这份报告要告诉人们什么，北京人有钱了？还是北京的80后个个都是富翁？现在居住在北京的80后有几个人可以依靠自己的收入独立买房，应当是屈指可数。到了北京听人家说，现在的80后恐怕连5环以外的房子都买不起，能在五环以内买得起的房的，大概还得搞父母来帮衬。年初北京80后的蜗居生活据说曾让人大代表落泪，而现在80后的蜗居生活依然如故，看着落泪的人也不见几个了。话说回来，现在全世界都一样，80后有点落难公子的味道，大学毕业失业的多，有了学问没地方用的人多，钱挣得不多，房子更是明日的梦。话说回来，从纽约这位大学毕业生的蜗居生活中还可以看到某些生活中的希望，也许今天的蜗居族，经过努力奋斗，明天会更好，这里的关键还得看自己。,教育
5,胡锦涛宣布将赠送一对朱�给韩国《世界新闻报》记者/李静《世界新闻报》特约记者/詹德斌8月25日，正在韩国访问的胡锦涛主席与韩国总统李明博举行首脑会谈。会谈中的一个特殊活动是，胡锦涛主席宣布将赠送一对朱?给韩国。早在今年5月27日，胡锦涛主席访问韩国时，就表示将赠送国际保护鸟类“朱?”给韩国。此后，两国开始正式讨论具体的赠送程序。运输费7000多万韩元自从得知国际保护鸟类朱?将于10月左右来到韩国后，韩方就开始了精心的准备工作。据韩国媒体报道，这些珍贵的朱?将受到国宾级待遇。庆尚南道地区制定了三步护送战略，即中国国内陆运——空运——韩国国内陆运。在中国出境和韩国入境过程中，各有21天繁琐的检疫程序。仅这两个检疫程序就最少要花费42天时间。据悉，庆尚南道的昌宁郡自然景观秀丽，还有韩国最好的温泉，很适合朱?生活。朱?是一种非常“敏感”的动物，为了防止它们受到惊吓，韩方特意定做了特制的箱子。朱?将在防噪音和光线的特制箱子里享受一次快乐的旅行。同时，还会有多位鸟类专家和饲养师随行保驾护航，以便随时检查箱内的温度、湿度，以及有无压力等。一旦出现异常，将立即中断护送。由于不能用一般飞机的货运舱空运朱?。因此，这次包括专机运航费在内，大约需要花费7000多万韩元(1亿韩元约合70万元人民币)。在昌宁郡周围，一个2.3万平方米的朱?饲养繁殖基地正在修建中，再有一个月就要落成了。为了保证朱?的生活环境绝对安全和健康，附近的一些农舍早已被迁走，周边的农户还被要求在耕种时不能使用农药。就算准备得如此严密，当地官员仍然压力重重：“朱?能到我们这儿来太难得了，如果因为没管理好而导致它们生病甚至死去，我们将在国际上丢尽颜面。一想到这儿，我连觉都睡不着。”为了尽快掌握饲养知识，今年8月初，他们邀请了两位中国饲养专家前去参加“朱?抢救饲养国际研讨会”，顺便给他们普及必要的常识。韩国“大使”为朱?倾倒此次朱?能够成行韩国，与一位韩国著名社会活动家的努力是分不开的，她就是朱?形象大使申润周。今年3月和5 月，申润周两次到陕西省汉中市考察访问。全程陪同的汉中外侨办青年干部王欣回忆说，申润周当时表达了希望朱?到韩国做客的想法。申润周对王欣说，韩国的青少年非常喜爱朱?。可惜的是，早在上世纪80年代，生活在韩国的朱?就已灭绝。韩国的青少年从来没有机会见到真正的朱?。在洋县朱?自然保护区参观时，由于时间有限，申润周并没有参观保护区内野生的朱?，只参观了在室内饲养的朱?。但她仍然对我国对朱?的保护情况赞叹不已，也被朱?的美丽深深折服。回到昌宁后，申”大使“把此次考察的情况向昌宁郡的官员作了汇报。当地官员听了非常感兴趣，决定于5月再次到中国朱?饲养基地考察访问，并和中方商谈缔结友好城市及保护朱?等事宜。今年5月12日，申润周第二次来到洋县朱?自然保护区考察，不巧正赶上“5·12四川大地震”。地震发生时，他们一行正在去朱?保护站的途中，忽然感到车子剧烈颠簸，大街上站满惊慌失措的人。但在美丽朱?的吸引下，申润周希望仍按日程表安排，继续考察朱?保护站，一直参观了大约两个小时后才离开。,时政
6,中法关系趋缓促使法国留学继续升温2010年是法国留学引人注目的一年，下半年的欧元汇率走低、国家主席胡锦涛访法等利好消息有效地恢复和促进了中国赴法留学生的数量。在留学政策方面，看得出法国官方也在不断的收集相关信息，作出相应调整，万变不离其宗的是欢迎更多中国学生赴法留学。◇重大变化：高中生赴法难度或增加7月，法国教育部长宣布未来法国更希望接收大学毕业生前往读硕士，而非高中毕业生前往读本科，由此使得接收高中生的本科预科减少：由于多年来留学法国一直有着“预科直通车”而不存在“语言直通车”的特点，很多高中毕业生赴法时希望选择预科+专业的双录取而不是语言+专业，由此促使本来有限的预科名额竞争激烈。11月，国家主席胡锦涛访问法国，也促成中法教育领域的合作。法国总统萨科齐也表示，目前在法国的中国留学生的总数已经超过3万人，希望能够将此数目翻一番。不过土伦大学、巴黎十三大舞弊案的发生在一定程度上反映了招生制度问题存在一些问题。◇后市预测：留学将继续升温2011年，法国留学将继续升温，而且正规、优秀的法国大学来中国后通常都会前往当地使领馆备案、注册，这些都将促成正规、优秀大学从签证率上淘汰劣等学校。中国学生将能够被充分保障享受到优秀的法国教育资源。,教育
7,基金波段操作险资坚决做空“9·19”行情中，基金曾一周净买入208.6亿元；国庆假期后，基金四天净卖出44.49亿元证券时报记者 程满清本报讯 虽然监管层在短短一个月内两度出台利好措施，但在国际金融市场动荡愈演愈烈的大环境下，A股市场的震荡幅度也进一步加剧。以国庆假期为分界点，在市场震荡中扮演主角的公募基金，上演“节前大买节后大卖”的波段剧情，投资态度极为谨慎。对比基金的波段操作，保险资金的看空态度更为坚决，自“9·19”行情展开后，无论涨跌均大举抛售股票。基金节前买节后卖上交所Topview数据显示，基金在“9·19”行情展开后的第一周表现出极高的入场热情，一周内在沪市累计买入558.83亿元、卖出350.22亿元，净买入达到208.6亿元，成为4·24行情以来买入力度最大的一周。但仅仅经过了一个国庆假期，基金在上周一开始就转为净卖出状态，从周一到周四净卖出44.49亿元。在国庆前一周，中信证券、招商银行、中国神华、中煤能源、浦发银行、民生银行等均进入基金净买入额前15位，但上周一至周四，上述个股无一例外地进入基金净卖出额前15位。尤其是中信证券，此前一周曾位列基金净买入队列的首位，但上周一至周四却处于基金净卖出队列的首位。上周五，随着大盘低开击破“9·19”行情低点，基金当天买入力度突然加大。Topview数据显示，当日基金买入54.92亿元、卖出30.11亿元，资金净流入达24.81亿元。业内人士分析指出，国庆前一周基金公司之所以大手笔买入，一方面是受到三大利好政策的刺激，但另一方面是由于临近三季度末，不少股票型基金仓位都低于60%最低限度，为了达到披露三季报的要求而产生买入补仓需求。而在上周五买入力度加大，则可能是预期周末有关部门会出台利好政策。保险资金坚决做空对比基金游离多变的波段操作风格，保险资金则自“9·19”行情展开来一直采取坚决的做空态度。统计显示，自9月19日到上周五，保险资金席位均表现为净卖出状态，在两周时间内净卖出额高达96.96亿元。如果将观察周期延长至近两个月，可以更为清晰地看到保险资金“先知先觉”的路线图。数据显示，保险资金今年8月上旬开始抄底A股直至9月18日晚宣布单边征收印花税，在超过九成的交易日中均表现为净买入状态，资金净流入共计约40亿元(不包括中国南车新股申购资金)。而当市场自“9·19”受到三大利好政策刺激大盘涨停，保险资金就立刻“多翻空”并一直保持看空态度。根据Topview席位追踪显示，金融板块、煤炭石油等板块成为近两周来保险资金大举抛售的对象，其中净卖出工商银行21.3亿、浦发银行12.6亿、中信证券8.38亿、中国人寿6.4亿、中国平安6.3亿元，另外中国石油、中国神华、中国石化、中国船舶亦在其抛售前列。与此同时，南京银行、双鹤药业、复星医药、中粮屯河、北大荒则被保险资金重点买入，但净买入力度均保持在1亿元左右或以下。,财经
8,NASA称国际空间站将可受控坠毁不对地构成威胁新浪科技讯 北京时间9月27日消息，这个周末全世界的人们都在关注着美国宇航局失效的高层大气研究卫星(UARS)的坠毁事件：它何时坠落？又会坠落在哪里？这一事件甚至在部分公众中引发了恐慌情绪。但是这毕竟只是一颗公车般大小的卫星，设想如果有一天国际空间站到达退役时限，准备坠入大气层，那又将会是何种情形呢？根据美国宇航局官员的说法，这样的恐惧是完全没有必要的。尽管国际空间站在规模上确实要比本周六坠落的UARS卫星大上几个数量级，但是它的最终坠落对于地面上人员将构成的威胁其实是很小的。之所以能这样说，是因为这两者之间存在一个最关键的不同，那就是这次的UARS卫星是在燃料耗尽完全失控的情况下坠落的，而未来国际空间站的销毁则将采用地面受控的情况下进行，地面指挥中心将精确控制空间站，使其进入大气层后的碎屑在广阔的大洋上空坠落。美国宇航局空间站项目副主管科克·希尔曼(Kirk Shireman)说：“我们对此已经进行了许多研究。我们已经制定好相关的有效轨道和变速方案，一旦那样操作，空间站坠落时，其碎屑将完全集中在无人的广袤海域。”受控坠落UARS卫星的质量大约为6.5吨。根据宇航局技术人员的估算，上周末在重返大气层后燃烧剩下的坠地残骸重量约有532公斤。如果光根据相对大小来进行比较，那么很显然，作为庞然大物的国际空间站的最终坠落将会对地面构成比UARS卫星大得多的威胁。这艘价值超过1000亿美元的超级太空城大小几乎相当于一座足球场，质量大约431吨。一旦它重返大气层，它将产生远远多于UARS卫星的残骸碎屑。根据目前的规划，美国宇航局及其国际合作伙伴国将共同至少让国际空间站在轨运行至2020年之后，甚至可能运行至2028年左右。而一旦其使用寿命到达终点，宇航局将不会置之不理而任其在失控状态下自行坠落，而是会引导这个庞然大物进行轨道机动，选择在无人的大洋上空坠落，这样它产生的大量碎片将不会对人员财产构成任何威胁。希尔曼说：“我们会定期研究我们的方案并进行必要的修正与升级，我们不想在这件事上有任何的闪失。这一点在项目开展之初便是作为整个国际空间站项目成功的判定要素之一而存在的。”坠落方案美国宇航局表示，让国际空间站在受控状态下坠毁是一个复杂而漫长的过程，这个进程需要从其预定坠落日前之前一年便开始进行。从这一刻起，地面控制中心将向空间站发送指令，使其运行轨道从正常的大约386公里缓慢下降。同时地面还将向准备退役的国际空间站发射一艘或数艘飞船与其对接，它们的作用是在未来必要时进行发动机反向点火以帮助空间站减速并脱离轨道。国际空间站实在太庞大了，它或许将需要一些外力的帮助。不过希尔曼表示，目前还没有确定到时候将派遣哪种飞船执行这一反推任务。或许将派遣一艘货运飞船，如改进版的俄罗斯进步号货运飞船，或者欧洲空间局研制的自动转运飞船(ATV)。目前正处于研发阶段的美国宇航局猎户座多功能乘员舱(MPCV)将来也有可能执行这一任务。在空间站逐渐下行的过程中，全部的站上宇航员都将撤离。当空间站最终下降到距离地面约115英里(约合186公里)高度时，地面工程师将引导空间站上先前已经与之对接的货运飞船开启发动机进行反向点火，从而进一步降低其轨道。这最后一击之后，完成使命的国际空间站将最终落入地球大气层并燃烧坠毁，最终在一片广阔的无人水域坠落。希尔曼说：“从南太平洋一直到美国西海岸有一大片完美的无人大洋洋面，长度几乎有6000公里。”从和平号和其它案例中学习2001年，重达135吨的俄罗斯“和平号”空间站受控坠落在南太平洋。希尔曼表示，当时美国宇航局的相关人士非常认真地观看了整个受控坠落过程并从中学到了很多有用的经验。除此之外，美国宇航局还对各种卫星坠入大气层之后的解体过程和模式进行了深入研究。举个例子，负责向国际空间站运送物资的日本H-2运输飞船(HTV)以及欧洲空间局的ATV飞船上都搭载了相关仪器，用以测量它们在重返大气层并解体燃烧时所处的状态和相关参数。希尔曼说：“所有这些努力将最终帮助我们让整个坠毁过程处在掌握之中。我们将了解空间站将如何解体，并以此推算出其碎屑的最终降落地点。”因此，在2020年之后，当我们真的要和国际空间站道别的时候，这个庞然大物的坠落将不会对地面上的任何人产生任何威胁。不过要是那时候你正好坐着船游荡在南太平洋水域的话，要小心了。抬头看一看天上吧，空间站坠落的样子一定非常壮观。希尔曼说：“如果你真的有幸目睹坠毁过程，那将是非常壮观的。不过你需要借助一点运气，因为我们不可能非常精确的预报出残骸最终坠落的具体地点和时间。”(晨风),科技
9,阿特兰蒂斯号返回地球 美30年航天飞机时代终结中新网7月21日电 综合报道，美国“阿特兰蒂斯”号航天飞机于美国东部时间21日晨5时57分(北京时间21日17时57分) 在佛罗里达州肯尼迪航天中心安全着陆，结束其“谢幕之旅”，这寓意着美国30年航天飞机时代宣告终结。当地时间7月8日，“阿特兰蒂斯”号从美国佛罗里达州肯尼迪航天中心升空，执行美国航天飞机项目第135次也是最后一次飞行。“阿特兰蒂斯”号这次任务共历时12天。参与本次飞行的共有4名宇航员，他们本次需完成两项试验任务。一项是确定能否使用机器人为现有的航天器加燃油，另一项是在微重力状态下测试名叫“正渗透”的处理技术，以探寻再次利用废水的新方法。经过2天的飞行，7月10日，“阿特兰蒂斯”号与国际太空站成功对接，为驻守空间站的宇航员们送去了足够他们消耗1年的补给品，重约4吨，包括食物、衣物、科学仪器设备等。15日，“阿特兰蒂斯”号航天飞机上的一台主计算机突然死机，随之而起的警报声惊醒了已沉睡的4名宇航员。“阿特兰蒂斯”号指令长克里斯•弗格森介绍，警报持续了一个小时左右，宇航员们都醒了。随后，他们迅速启动了备用计算机，并修复了故障。据悉，故障疑为宇宙射线所致。由于宇航员睡眠受到影响，地面控制中心将叫醒他们的时间推迟了半小时。19日，“阿特兰蒂斯”号航天飞机最后一次脱离国际空间站“和谐”号(Harmony)节点舱，返回地球。脱离后的“阿特兰蒂斯”号先停在距离国际空间站200米处，国际空间站则翻转90度，如此“阿特兰蒂斯”号便能飞越空间站，拍摄外部照片进行检查。脱离空间站的时候，铃声响起，美国宇航局在国际空间站上的小组长加兰用无线电报出“‘阿特兰蒂斯’号最后一次脱离空间站”。“感谢‘阿特兰蒂斯’号进行的12次国际空间站飞行任务，还有兴建空间站期间37次的宇航飞机飞行任务”。当地时间21日凌晨4时(北京时间当天下午4时)过后不久，美国宇航局发布了批准“阿特兰蒂斯”号航天飞机“开始(脱轨燃烧)”的指令。“阿特兰蒂斯”号航天飞机最后一次的飞行任务，是载回2.5公吨国际空间站上不再需要的材料和废物返回地球。这次任务结束后，“阿特兰蒂斯”号的历史使命彻底结束。自1985年首次升空后，算上8日开始的飞行，它共执行33次飞行任务。此后，它将与率先退役的美国另两大航天飞机“发现号”、“奋进号”一样，被送进博物馆供人参观瞻仰。美国为期30年的航天飞机项目(Space Shuttle)由此画下句点。据报道，美国的航天飞机计划在“阿特兰蒂斯”号返回地球降落之后30天正式结束，但是结束所有有关的行动，包括将30年来的飞行记录存档在内，可能还需要2年的时间。此后，在私营企业开发出运送宇航员前往空间站的商业化宇航载具之前，美国至少有3到4年的时间必须仰赖像俄罗斯“联盟号”飞船之类的载具将美国宇航员送上国际空间站。美国宇航局3月时曾表示，由于通货膨胀，2014年至2016年，每名美国宇航员乘坐俄飞船往返空间站的平均票价将上涨到6275万美元，目前的票价为5100万美元。,科技
